# 7.010E-01  1.000E-02  X, Z
#    17                 No. of Elements
#     1   9.052E-01     Atomic No., Normalised Abundance
#     2   9.399E-02
#     6   1.882E-04
#     7   4.949E-05
#     8   3.932E-04
#    10   6.234E-05
#    11   1.132E-06
#    12   2.016E-05
#    13   1.568E-06
#    14   1.882E-05
#    16   8.605E-06
#    18   1.759E-06
#    20   1.216E-06
#    24   2.478E-07
#    25   1.300E-07
#    26   1.716E-05
#    28   9.408E-07
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   6.868E+00   1.088E+00  -1.516E+00   2.659E-01  -2.442E+00   4.059E-01
   6.866E+00   1.080E+00  -1.517E+00   2.680E-01  -2.449E+00   4.052E-01
   6.864E+00   1.073E+00  -1.518E+00   2.700E-01  -2.456E+00   4.045E-01
   6.862E+00   1.065E+00  -1.520E+00   2.721E-01  -2.463E+00   4.038E-01
   6.859E+00   1.057E+00  -1.521E+00   2.742E-01  -2.470E+00   4.030E-01
   6.857E+00   1.049E+00  -1.523E+00   2.762E-01  -2.477E+00   4.023E-01
   6.855E+00   1.041E+00  -1.525E+00   2.783E-01  -2.483E+00   4.016E-01
   6.853E+00   1.033E+00  -1.526E+00   2.804E-01  -2.490E+00   4.009E-01
   6.851E+00   1.025E+00  -1.528E+00   2.825E-01  -2.497E+00   4.002E-01
   6.849E+00   1.017E+00  -1.529E+00   2.846E-01  -2.504E+00   3.995E-01
   6.847E+00   1.009E+00  -1.531E+00   2.867E-01  -2.511E+00   3.987E-01
   6.845E+00   1.002E+00  -1.533E+00   2.888E-01  -2.517E+00   3.980E-01
   6.843E+00   9.936E-01  -1.534E+00   2.909E-01  -2.524E+00   3.973E-01
   6.841E+00   9.857E-01  -1.536E+00   2.930E-01  -2.531E+00   3.966E-01
   6.838E+00   9.777E-01  -1.538E+00   2.951E-01  -2.537E+00   3.958E-01
   6.836E+00   9.698E-01  -1.539E+00   2.972E-01  -2.544E+00   3.951E-01
   6.834E+00   9.619E-01  -1.541E+00   2.994E-01  -2.551E+00   3.944E-01
   6.832E+00   9.539E-01  -1.543E+00   3.015E-01  -2.558E+00   3.937E-01
   6.830E+00   9.460E-01  -1.545E+00   3.037E-01  -2.564E+00   3.929E-01
   6.828E+00   9.380E-01  -1.546E+00   3.058E-01  -2.571E+00   3.922E-01
   6.826E+00   9.301E-01  -1.548E+00   3.080E-01  -2.578E+00   3.915E-01
   6.824E+00   9.221E-01  -1.550E+00   3.101E-01  -2.584E+00   3.908E-01
   6.822E+00   9.141E-01  -1.552E+00   3.123E-01  -2.591E+00   3.901E-01
   6.820E+00   9.062E-01  -1.554E+00   3.145E-01  -2.598E+00   3.893E-01
   6.818E+00   8.982E-01  -1.556E+00   3.167E-01  -2.605E+00   3.886E-01
   6.816E+00   8.902E-01  -1.557E+00   3.189E-01  -2.611E+00   3.879E-01
   6.814E+00   8.822E-01  -1.559E+00   3.211E-01  -2.618E+00   3.872E-01
