# 7.010E-01  1.800E-02  X, Z	# 7.010E-01  1.800E-02  X, Z
#    17                 No. of Elements	#    17                 No. of Elements
#     1   9.071E-01     Atomic No., Normalised Abundance	#     1   9.071E-01     Atomic No., Normalised Abundance
#     2   9.157E-02	#     2   9.157E-02
#     6   2.655E-04	#     6   8.362E-06
#     7   7.808E-05	#     7   4.037E-04
#     8   7.183E-04	#     8   6.632E-04
#    10   1.273E-04	#    10   1.175E-04
#    11   2.311E-06	#    11   2.134E-06
#    12   4.116E-05	#    12   3.800E-05
#    13   3.201E-06	#    13   2.956E-06
#    14   3.841E-05	#    14   3.547E-05
#    16   1.757E-05	#    16   1.622E-05
#    18   3.592E-06	#    18   3.316E-06
#    20   2.483E-06	#    20   2.292E-06
#    24   5.059E-07	#    24   4.671E-07
#    25   2.655E-07	#    25   2.451E-07
#    26   3.504E-05	#    26   3.235E-05
#    28   1.921E-06	#    28   1.773E-06
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr	#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   7.110E+00   1.788E+00  -1.542E+00   1.664E-01  -1.868E+00   3.801E-01	   7.110E+00   1.788E+00  -1.542E+00   1.550E-01  -1.864E+00   3.810E-01
   7.107E+00   1.780E+00  -1.539E+00   1.697E-01  -1.874E+00   3.820E-01	   7.107E+00   1.780E+00  -1.539E+00   1.583E-01  -1.869E+00   3.829E-01
   7.103E+00   1.773E+00  -1.537E+00   1.730E-01  -1.879E+00   3.838E-01	   7.103E+00   1.773E+00  -1.537E+00   1.615E-01  -1.875E+00   3.848E-01
   7.100E+00   1.766E+00  -1.534E+00   1.763E-01  -1.885E+00   3.857E-01	   7.100E+00   1.766E+00  -1.534E+00   1.648E-01  -1.881E+00   3.866E-01
   7.097E+00   1.758E+00  -1.532E+00   1.795E-01  -1.890E+00   3.875E-01	   7.097E+00   1.758E+00  -1.532E+00   1.680E-01  -1.886E+00   3.884E-01
   7.094E+00   1.751E+00  -1.530E+00   1.827E-01  -1.896E+00   3.893E-01	   7.094E+00   1.751E+00  -1.530E+00   1.712E-01  -1.892E+00   3.902E-01
   7.090E+00   1.744E+00  -1.528E+00   1.859E-01  -1.903E+00   3.910E-01	   7.090E+00   1.744E+00  -1.528E+00   1.743E-01  -1.899E+00   3.920E-01
   7.087E+00   1.737E+00  -1.525E+00   1.890E-01  -1.909E+00   3.927E-01	   7.087E+00   1.737E+00  -1.525E+00   1.775E-01  -1.905E+00   3.937E-01
   7.084E+00   1.729E+00  -1.523E+00   1.922E-01  -1.916E+00   3.944E-01	   7.084E+00   1.729E+00  -1.523E+00   1.806E-01  -1.912E+00   3.954E-01
   7.081E+00   1.722E+00  -1.521E+00   1.953E-01  -1.924E+00   3.960E-01	   7.081E+00   1.722E+00  -1.521E+00   1.837E-01  -1.920E+00   3.971E-01
   7.078E+00   1.715E+00  -1.519E+00   1.983E-01  -1.931E+00   3.976E-01	   7.078E+00   1.715E+00  -1.519E+00   1.867E-01  -1.927E+00   3.987E-01
   7.075E+00   1.708E+00  -1.517E+00   2.014E-01  -1.939E+00   3.992E-01	   7.075E+00   1.708E+00  -1.517E+00   1.898E-01  -1.935E+00   4.003E-01
   7.072E+00   1.700E+00  -1.515E+00   2.044E-01  -1.947E+00   4.007E-01	   7.072E+00   1.700E+00  -1.515E+00   1.928E-01  -1.943E+00   4.018E-01
   7.069E+00   1.693E+00  -1.513E+00   2.074E-01  -1.955E+00   4.021E-01	   7.069E+00   1.693E+00  -1.513E+00   1.958E-01  -1.951E+00   4.033E-01
   7.066E+00   1.686E+00  -1.512E+00   2.104E-01  -1.963E+00   4.036E-01	   7.066E+00   1.686E+00  -1.512E+00   1.987E-01  -1.959E+00   4.048E-01
   7.063E+00   1.679E+00  -1.510E+00   2.134E-01  -1.972E+00   4.049E-01	   7.063E+00   1.679E+00  -1.510E+00   2.017E-01  -1.967E+00   4.062E-01
   7.060E+00   1.671E+00  -1.508E+00   2.164E-01  -1.980E+00   4.062E-01	   7.060E+00   1.671E+00  -1.508E+00   2.046E-01  -1.976E+00   4.075E-01
   7.057E+00   1.664E+00  -1.507E+00   2.193E-01  -1.989E+00   4.074E-01	   7.057E+00   1.664E+00  -1.507E+00   2.075E-01  -1.984E+00   4.087E-01
